abb é	1010
ab dik ova t	1010
abdomen	1010
abeced u	1010
abol ova t	1010
abon ová n í	0110
abon ova t	1010
absolut n a	0110
absolut n ě	0110
absolut n em	0110
absolut n í	1010
absolut n ích	1010
absolut n ího	1010
absolut n í m	1010
absolut n o	0111
ab solv ent	0110
ab solv ent i	0110
ab solv ova t	1010
ab sorb ova t	1010
absten ova n ost	0110
absten ova t	1010
abs trah ova t	1010
ab s trak c e	0110
ab s trak c í	0110
ab s trakt n í	1010
ab s trakt n ích	1010
abs trakt n ími	1010
abušinov ův	0110
aby	0110
aby ch	0110
a by chom	0110
a by s	0110
aby s te	0110
ač	0110
acet on	1010
ach	0110
ach ich	0110
a chov a t	0110
a chron ist ic k y	0110
acid i fik ová v a n ost	0110
ač koli	0110
actu	0110
ad	0110
adam	0110
adami	0110
adapt abil n í	0110
adapt or	1010
adapt ova t	1010
ad ekvát n í	1010
adjust ova t	1010
ad ministr at iv n í	0110
ad ministr ova t	1010
admirál a	1010
admirál	1010
ad opt ova t	1010
ador ova t	1010
adres a	1010
adres	1010
adres át a	0110
adres át ů	0110
adres e	1010
adres ova t	0110
adres u	1010
adrian a	0110
advok át a	1010
advok át	1010
advok át em	1010
ad vok át n í	0110
aero magnet ic k y	0110
aero plán em	1011
aero trans port	0110
aeternitatis	0110
afáz i e	1010
afekt ova t	0110
afér a	1010
afér y	1010
a filo zof ic k ý	0110
afin ova t	1010
afrik a	0110
afrik u	0110
afrik y	0110
agend a	1010
agent	0110
agent i	1010
agent ů	1010
agent ur a	1010
agent ur	1010
agent uř e	1010
agent ur y	1010
agit ova t	1010
aglomer ova t	1010
aglutin ova t	1010
a gnosk ova t	1010
a gnos t ic ism	0110
agnoston	0110
agov á v a t	0110
agr ár n ím	1010
agres e	1010
agres i	1010
agres iv it y	0110
agro chem ick y	0110
aha	0110
aids	0110
air line s	0110
air way s	0110
aj aj	0110
akadem ic k é	0110
akadem ic k ému	0110
akadem ic k ost	0110
akc e	1010
akcent ova t	0110
akcept ova t	1010
akc i	1010
akc í	1010
akc ích	1010
akci e	1010
akci í	1010
akcion ář	0110
akci onář ů	0110
akci ov á	0110
akci ov é	0110
akci ov ých	0110
a klam ova t	1010
a klim at iz ova t	0110
a ko mod ova t	1010
akorát	0110
akragant	0110
a kred it ova t	1010
akro bat i	0110
akryl ov ý	0110
akt	1010
akt ě	1010
akt em	1010
akt iv it	0110
akt iv it ami	0110
akt iv iz ova t	0110
akt iv n í	1010
akt iv ova t	0110
akt ov c e	0110
akt ov k ou	0110
akt u al iz ova t	0110
akt uál n ě	0110
akt uál n ího	1010
a kumul ova t	1010
aku pres ur ou	1011
akust ic k é	0110
akvarij n í	0110
akvar ist é	0110
akvar ist ů	0110
akv ár i um	1010
akv ír ova t	1010
alarm ova t	1010
alarm uj te	1010
alb a	1010
albatros	1010
albigen sk ý	0110
alb ín in	0110
aldworth ov á	0110
ale	0110
alebrž	0110
alegor iz ova t	0110
aleluja	0110
alemann ů	0110
alespoň	0110
alexandr a	1010
alexandr i e	0110
alexandr i i	0110
alexaněnk ův	0110
alexej	0110
alf a	1010
alf a bet ick ém	0110
alf ou	1010
alfréd ův	0110
alias	0110
alibi	1010
alic e	0110
alic i	0110
alic in o	0111
aligátor	1010
ali ment y	1010
alister	0110
a liter ova t	1010
aljašc e	1010
alkaj sk ý	0110
alkal iz ova t	0110
alkohol	1010
alkohol ik	0110
a log ič n o	0111
alois e	1010
alp	1010
alp y	1010
alter n at iv a	1010
alter n at iv	1010
alter n at iv ami	1010
alter n at iv u	1010
alter n ova t	1010
alter ova t	1010
amalgam ova t	0110
amand a	0110
amarett o	1011
amatakkulchai	0110
am at ér	1010
amatér ismus	0110
amazon sk ý	0110
amen	0110
američ an é	0110
američ an k ou	0110
američ an ů	0110
američ an ům	0110
americ e	0110
americ k á	0110
americ k é	0110
americ k ému	0110
americ k ou	0110
americ k y	0110
americ k ý	0110
americ k ých	0110
američ t í	0110
amerik a	0110
amerik an ism em	1010
amerik an ism u	1010
amerik an iz ova t	0110
amerik án ovi	0110
amerik án sk á	0110
amerik án stv í	0110
amerik u	0110
amerik y	0110
amin a	1010
amin ě	1010
amin k o	0111
amin o	1011
amin u	1010
ami pro	0110
amnest ova t	0110
amort iz ova t	1010
ampli fik ova t	1011
amput ova t	1010
amsterodam	0110
amsterodam ě	0110
amsterodam u	0110
anacharsis ův	0110
ana log ic k á	0110
ana log ic k y	0110
ana log i e	1011
ana log iz ova t	0110
ana lyt ic a	0110
ana lyt ik u	1010
ana lýz a	1010
ana lyz ova t	0110
ana lýz y	1010
an arch i i	1010
anatol ák	0110
anatol	0110
anatól i i	0110
ana tom i e	1010
ana tom i i	1010
ancilla	0110
anď ák ův	0110
anděl	1010
anděl é	1010
anděl í	0110
anděl ím	0110
anděl y	1010
anderson	0110
andíl ek	0110
andrejev a	0110
android	0110
a neb	0110
a nebo	0110
anekt ova t	1010
angaž ová n	0110
angaž ová n í	0110
angaž ova t	0110
angl ič an	0110
angl ič an i	0110
angl ic k é	0110
angl ic k ého	0110
angl ick ém	0110
angl ic k u	0110
angl ick y	0110
angl ick ý	0110
angl ičt in ou	0110
angl ičt in y	0110
angl i e	0110
angl i i	0110
angl o americ k é	1011
angl o sas k é	1011
angl o sas k ou	1011
ani	0110
anil ín em	1010
anil ín u	1010
anim a	1010
anim ist ick ý	0110
anim ova t	1010
anim um	1010
aniž	0110
anlongveng	0110
annie	0110
ano	0110
anomál i i	0110
anonc ova t	1010
an onym n í	0110
an onym n ích	0110
a not ova t	1010
anta gon izová v a n ost	0110
antal a	0110
ante dat ova t	1011
anthony	0110
anthozo a	0110
anti cip ova t	1010
anti dat uje me	0110
ant i hrd in k a	0110
antikv it y	1010
anti myk ot ic k y	0110
anti propag and ov ost	0110
anti vir ot ic k ost	0110
anton a	1010
anton	1010
antonín a	0110
a nul ova t	1010
a p	0110
aparat ur y	1010
a pel ova t	1010
a per cip ova t	1010
aplan ova t	1010
aplaud ova t	1010
aplik ac i	0110
a plik ová n a	1010
a plik ova t	1010
a pod	0110
apologet ik y	1010
a port ova t	1010
apo strof ova t	0110
apret ova t	1010
aprior ism em	1010
aprior n í	0110
aprior n ích	0110
a prob ova t	1010
a prov iz ova t	1010
a pro viz ová v a n ě	0110
aqua	0110
aquilej sk ý	0110
ara	1010
arab a	0110
arab	0110
arab ovi	0110
arab sk ou	0110
arab sk ý	0110
arab sk ými	0110
aranž ér ův	0110
aranž ova t	1010
arch a iz ova t	0110
arch	0110
archi tekt	0110
archi tekt ur y	1011
arch ů	1010
arci biskup	1011
arci lotr as	0110
areál u	1010
arenelle	0110
aret ova t	1010
argaláš	0110
argentin y	1010
argument	1010
arion	0110
aristo krat ism u	0110
aristotel a	0110
aristotel ovi	0110
ar iz ova t	0110
armád a	1010
armén	0110
armén i	0110
armén i e	0110
armén ovi	0110
armén sk ý	0110
arm ova t	1010
armstrong	0110
arnhem	0110
arnošt	0110
arogantn ě	0110
arom at iz ova t	0110
a rond ova t	1010
artikul ova t	1010
a san ova t	1010
a sekur ova t	1010
asfalt ova t	0110
asfalt ov ou	0110
asfalt ov ý	0110
asi	0110
asi e	0110
a simil ová n y	1010
a simil ova t	1010
a simil ova ti	1010
asist ent k a	0110
asist ent ů	0110
asist ova t	1010
a soci ac e	0110
a soci ova t	1010
a spekt u	1010
a spekt y	1010
a spir ova t	1010
aspoň	0110
astm at ic k y	0110
astro nom ic k é	0110
astrophytum	0110
a symptot ic k y	0110
atak ova t	0110
ataman em	1010
atarax i e	1010
ať	0110
atd	0110
a te ism u	1010
atent át y	1010
a test ova t	1010
atlet	0110
atm o sfér ou	1011
atom	1010
atom iz ova t	0110
atom izová v a teln ost	0110
atom ů	1010
a trakt iv n í	0110
a trakt iv n ím	0110
a trof ova t	0110
atván ův	0110
au	0110
audio pás k a	1011
audit u	1010
aukc e	1010
aukč n í	0110
aure a	1010
aurore	0110
auskult ova t	1010
austrál i e	0110
aut a	1010
aut	1010
aut ě	1010
aut em	1010
autentic k ého	1010
auto	1010
aut o bazar	1011
auto bus	1011
aut o díl	1011
aut o do prav u	1011
auto gen n ího	0110
auto graf ova t	1011
auto krit ik a	1011
auto mas áž í	1011
auto mat ic k á	0110
auto mat ic k é	0110
auto mat ic k ého	0110
auto mat ic k y	0110
auto mat ick ý	0110
auto mat ic k ým	0110
auto mat iz ova t	0110
auto mobil	1011
auto mobil em	1011
aut o mobil iz ova t	0111
automobil k a	0110
auto mobil k y	0110
auto mobil u	1011
auto mobil ů	1011
auto mobil y	1011
auto nom i i	0110
aut or	1010
aut or it at iv n í	0110
aut or it ě	1010
aut or it y	1010
aut or iz ova t	0110
autor sk á	0110
autor sk ého	0110
autor ů	1010
autor y	1010
aut o stop	1011
aut o stop em	1011
avenari em	0110
avenari us	0110
aviz ová n	0110
avokád o	1011
a však	0110
axiom	1010
axiom y	1010
až	0110
ažur ova t	1010
ba	1010
báb a	1010
báb ě	1010
bab ičc e	0110
bab ičč in a	0110
bab ičč in u	0110
bab ičč in y	0110
bab ičk a	0110
bab ičk o	0111
bab ičk ou	0110
bab ičk u	0110
bab ičk y	0110
bab k u	0110
bab o	1011
báb ou	1010
babr a l ův	0110
babr a t	1010
báb u	1010
babulak ův	0110
báb y	1010
bac a t	0110
bacco	0110
bachoř i t	0110
bachr at i t	0110
bac i t	1010
bačkor a	0110
bác nou t	1010
bacon ovi	0110
bad á n í	0110
bád á n í	0110
bad á n ím	0110
bád a t	1010
baden sk ý	0110
baden št í	0110
baden u	1010
baf a t	1010
baf č i t	1010
baf nou t	0110
bagatel iz ova t	0110
bag ova t	0110
bagr ova t	0110
bahn a	1010
bahn ě t	0110
bahn išť	0110
bahn išt ě	0110
bahn i t	0110
bahn o	1011
báj eč n á	0110
